rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
835,mp-778841,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8669971487694554,0.4790000000000001,0.0119705981818034,-2.6523835483258704,False,0.7605848070213153,0.6101064077502912,0,0.6318588865743253
836,mp-1176968,Li7Mn2Fe6(PO4)8,"Fe,Li,Mn,O,P",3.4289886272173,1.4371,0.0100486877727243,-2.494930922115241,False,0.7990235336821824,0.5485351423447828,0,0.6314502433458743
837,mp-754088,Li4CrFe3O8,"Cr,Fe,Li,O",4.127947079945937,1.6734000000000004,0.0046190573958329,-2.056437965833333,False,0.9076176059869756,0.37706409839050464,0,0.6311621177295133
838,mp-777803,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8687948960361105,0.2869000000000001,0.0120643111363492,-2.652289835371324,False,0.7587105226491865,0.6100697616470462,0,0.6308152040335188
839,mp-26057,LiMnPO4,"Li,Mn,O,P",2.865976129013747,3.5393,0.0116941489285666,-2.621734584415317,False,0.7661138666645594,0.5981212441061098,0,0.6307050621026461
840,mp-778108,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.885028775408525,0.601,0.0121113772727126,-2.65224276923496,False,0.7577691872247518,0.610051356609014,0,0.6302910277867684
841,mp-752900,Li2FeSiO4,"Fe,Li,O,Si",2.958042678795779,2.9645,0.0108834003125002,-2.5523830333333333,False,0.7823290577038676,0.5710015773166826,0,0.6301315337979662
842,mp-19430,Li3Fe2(PO4)3,"Fe,Li,O,P",2.9621012385667718,2.473,0.0102601717499997,-2.501981877446428,False,0.7947937970840351,0.5512923922713617,0,0.6300889256911959
843,mp-1176793,Li9Mn12Ni3O32,"Li,Mn,Ni,O",4.10838922006984,0.0,0.0035405545059532,-1.961507105092364,False,0.9291879547353886,0.33994173744597195,0,0.630032983210554
844,mp-774358,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8712984848331597,0.4711999999999998,0.0121595468181681,-2.6521945996895053,False,0.7568057833208055,0.6100325200869501,0,0.6297545628568756
845,mp-768392,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.4361923848973,1.3016,0.0123625949652668,-2.667241576712964,False,0.7527447656019501,0.6159165846348642,0,0.6295804257032751
846,mp-532590,LiMgCr7(SO4)12,"Cr,Li,Mg,O,S",2.9147071101424964,2.7801,0.004807484221021,-2.0598215925845405,False,0.9038490186507683,0.37838725307992255,0,0.6295524988358955
847,mp-774685,Li3Mn5FeO12,"Fe,Li,Mn,O",4.065929558056403,0.2355999999999998,0.0043853637698303,-2.0258901640312,False,0.9122915415512276,0.36511849381355777,0,0.6295518206879205
848,mp-759435,LiCu(PO3)3,"Cu,Li,O,P",3.182196055723969,0.3971,0.0089681641071548,-2.393930962125851,False,0.820634298489542,0.5090394826526192,0,0.6295126830976648
849,mp-755550,Li2CrFeO4,"Cr,Fe,Li,O",4.122968142297806,2.043,0.0062010485416665,-2.1709762502083336,False,0.8759773562920133,0.42185386961293386,0,0.6294364003251343
