rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score,battery_relevant_metals,flagged_elements,screening_status
4182,mp-849264,Li3Mn4(BO3)4,"B,Li,Mn,O",3.1216460506241304,0.0,0.0480224388043417,-2.4613892351474265,False,0.0395382687620666,0.5354187900796824,0,0.2091426243470255,Mn,,POSSIBLE
4183,mp-758406,Li4V3P8O29,"Li,O,P,V",2.5403979756765365,0.5437000000000001,0.0494011462878773,-2.572136175919914,False,0.0119637471534811,0.5787259704504258,0,0.2091341505920636,V,,POSSIBLE
4184,mp-780426,Li6Co2C4SO16,"C,Co,Li,O,S",2.8256715761124696,0.0,0.0425299750862064,-2.0198474628448286,False,0.1493890248424685,0.3627555179301669,0,0.2091283949389161,Co,,POSSIBLE
4185,mp-754486,Li5Mn2P2(CO7)2,"C,Li,Mn,O,P",2.683889098235805,0.0,0.0468726461222237,-2.368206995672577,False,0.0625344325872973,0.4989802209947148,0,0.2090370152711637,Mn,,POSSIBLE
4186,mp-850786,Li3Mn4(BO3)4,"B,Li,Mn,O",3.123521697461656,0.0,0.0480339177173867,-2.461377756234383,False,0.0393086874044672,0.535414301293318,0,0.2090147835251183,Mn,,POSSIBLE
4187,mp-540011,Li2Ni(PO3)5,"Li,Ni,O,P",2.61546276316117,0.0,0.0477474308152192,-2.43748463434265,False,0.0450385027342109,0.5260709846096441,0,0.2088960211171914,Ni,,POSSIBLE
4188,mp-25421,LiVPCO7,"C,Li,O,P,V",2.400483067444196,1.8586,0.0469784413636373,-2.374524504134199,False,0.0604184992183396,0.5014506592436883,0,0.2087379053053776,V,,POSSIBLE
4189,mp-1311345,Li3(NiO2)5,"Li,Ni,O",4.608003688520672,0.3967999999999998,0.0329565833796294,-1.2460139188888892,False,0.3408594416153566,0.0601507811196237,0,0.2085254662803144,Ni,,POSSIBLE
4190,mp-1639919,LiMn2O3,"Li,Mn,O",4.459042140415527,0.2324000000000001,0.0432618895833343,-2.074174675282567,False,0.1347505374492366,0.3839999728258936,0,0.2085127860861428,Mn,,POSSIBLE
4191,mp-25861,LiCr2(PO3)5,"Cr,Li,O,P",2.735288392469568,2.6467,0.0492149260990473,-2.552454435067287,False,0.0156882011672357,0.5710294986998788,0,0.2084888351869372,Cr,,POSSIBLE
4192,mp-705314,Li3V3P8O29,"Li,O,P,V",2.554100562121706,1.2773,0.0488505963372007,-2.5230056436544848,False,0.0229748946904528,0.5595136580588753,0,0.2084659724003554,V,,POSSIBLE
4193,mp-756388,Li7Ni5O12,"Li,Ni,O",4.369917965161836,0.0,0.0361923100000023,-1.5053252197222229,False,0.2761440362966444,0.1615535033892316,0,0.2084229461493855,Ni,,POSSIBLE
4194,mp-769613,Li4Ti3Ni3(WO8)2,"Li,Ni,O,Ti,W",5.361677112930049,1.084,0.0477212740178591,-2.4317261115476185,False,0.0455616457378071,0.5238191356320205,0,0.2083956026270011,"Ni, Ti",,POSSIBLE
4195,mp-1177335,Li4V3P8O29,"Li,O,P,V",2.494069743753778,0.518,0.0494682198106044,-2.5720691023971867,False,0.0106222586043224,0.5786997415981741,0,0.2083871517917382,V,,POSSIBLE
