material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable
mp-773044,LiCuO2,"Cu,Li,O",3.891646763834338,0.33030000000000004,0.02471069874999987,-1.425870712083333,False
mp-775331,LiVO2,"Li,O,V",3.9781789366322466,1.4973000000000005,0.026776534999999768,-2.4670045070833337,False
mp-777412,Li2VO2F,"F,Li,O,V",3.4536131908094148,1.4806999999999997,0.04811374375000188,-2.6692054356944444,False
mp-777497,Li2VO2F,"F,Li,O,V",3.453156003859511,1.0852,0.047474720833334594,-2.669844458611111,False
mp-779788,LiMnO2,"Li,Mn,O",4.1333263240693805,0.0,0.04325182770833358,-2.116618136357759,False
mp-780155,Li9Fe3(OF7)2,"F,Fe,Li,O",2.9111979898984885,1.8077999999999999,0.04783439978174453,-2.8353538403571434,False
mp-780202,Li2FeO2F,"F,Fe,Li,O",3.7428364638703657,1.6583999999999999,0.03474383833333494,-2.3166791448611104,False
mp-849241,LiNiO2,"Li,Ni,O",4.676945104479567,0.0,0.015978004333333296,-1.482013294833333,False
mp-849273,LiCoO2,"Co,Li,O",5.1476803911774915,0.0,0.0005960662499990832,-1.7450637045833348,False
mp-850062,LiNiO2,"Li,Ni,O",4.887144330841902,0.0,0.009115211333333484,-1.4888760878333336,False
mp-850982,LiCo3(OF3)2,"Co,F,Li,O",4.263654098326716,0.18589999999999995,0.024342366250001746,-2.100362096111111,False
mp-853240,LiCoO2,"Co,Li,O",4.690605367002613,1.8839000000000001,0.03689967625000001,-1.7087600945833339,False
mp-865631,LiNiO2,"Li,Ni,O",4.8891753883096,0.0,0.00011381583333403,-1.4978774833333333,False
mp-866271,LiNiO2,"Li,Ni,O",4.646091866099784,0.0,0.008243928333333095,-1.489747370833334,False
mp-867665,LiV3(OF3)2,"F,Li,O,V",3.700574841050288,1.4935000000000003,0.0,-3.0513614031944436,True
mp-996987,LiCuO2,"Cu,Li,O",4.492561351887285,0.5072000000000001,0.021594026249999843,-1.428987384583333,False
mp-996986,LiCuO2,"Cu,Li,O",3.8452492971821446,0.15580000000000016,0.04510195624999991,-1.405479454583333,False
mp-1002572,LiMnO2,"Li,Mn,O",4.093248678541114,0.8561000000000001,0.04255603187499979,-2.1173139321910934,False
mp-1004373,LiMnO2,"Li,Mn,O",4.3072277326257264,1.0352999999999999,0.017628958124999983,-2.1422410059410932,False
mp-1097885,LiCoO2,"Co,Li,O",4.677642762952529,2.0128000000000004,0.043436579999999836,-1.702223190833334,False
mp-1176519,LiVO2,"Li,O,V",3.883249553775321,1.6624999999999996,0.04993066187499906,-2.4438503802083344,False
mp-1176523,LiVO2,"Li,O,V",4.246057361476746,0.0,0.012101926250000616,-2.481679115833333,False
mp-1176588,LiNiO2,"Li,Ni,O",4.843288458154715,0.12910000000000021,0.018286454583334333,-1.479704844583333,False
mp-1176658,LiMn2O2F3,"F,Li,Mn,O",3.7945261232488896,1.9852999999999998,0.03301790958333495,-2.553960374274425,False
mp-1177757,Li2VO2F,"F,Li,O,V",3.465024372412896,1.6205000000000003,0.02483529166666809,-2.6924838877777777,False
mp-1177943,Li2FeO2,"Fe,Li,O",3.6301312867640707,3.1331,0.0437430455000003,-1.8362572503333332,False
mp-1178001,Li2CrO2,"Cr,Li,O",3.056212714841657,2.6563,0.020048116500000823,-2.0891893708333327,False
mp-1178085,Li11Fe5(OF11)2,"F,Fe,Li,O",3.091466266753229,2.3187,0.03406566401388744,-2.843001090666666,False
mp-1222301,LiTiO2,"Li,O,Ti",4.090368217346586,0.0,0.02962454124999958,-2.9497324066666666,False
mp-1239022,Li2CuO2,"Cu,Li,O",3.7791328788351066,0.0,0.047375311249996166,-1.629481453333333,False
mp-1272606,Li2CrO2,"Cr,Li,O",3.040646864042893,2.08,0.028562055000000086,-2.080675432333334,False
mp-1272313,Li2NiO2F,"F,Li,Ni,O",3.961181775134317,0.5939000000000001,0.0008443655555581131,-2.0526149852777773,False
mp-1272755,Li2FeO2,"Fe,Li,O",3.6609738999602803,3.0405999999999995,0.044331880000000545,-1.835668415833333,False
mp-1273426,Li2VO2F,"F,Li,O,V",3.4732567002957393,1.673,0.024710992083334382,-2.6926081873611114,False
mp-1273482,LiNiO2,"Li,Ni,O",4.740626474845314,0.0,0.03735935802083379,-1.4606319411458335,False
mp-1273466,LiNiO2,"Li,Ni,O",4.740949924891202,0.0,0.03966066770833354,-1.4583306314583337,False
mp-1275135,Li2MnO2F,"F,Li,Mn,O",3.5195020139390527,2.7138,0.02756251375000307,-2.467149280349616,False
mp-1275540,LiMnO2,"Li,Mn,O",4.160434128205321,0.0,0.04636343187500103,-2.113506532191092,False
mp-1275690,Li2MnO2F,"F,Li,Mn,O",3.5664826212885563,1.0471999999999997,0.024831875000002057,-2.4698799190996166,False
